date;home_team;away_team;home_score;away_score;city;season;avg_temp_c;min_temp_c;max_temp_c;precipitation_mm;avg_wind_dir_deg;avg_wind_speed_kmh;Gagnant;resultat
01/02/2014;France;England;26;24;Saint-Denis;Winter;6,9;5,8;9;2,6;216;19,1;France;1
02/02/2014;Ireland;Scotland;28;6;Dublin;Winter;6,4;3,3;9,1;3,4;210;32;Ireland;1
08/02/2014;Ireland;Wales;26;3;Dublin;Winter;6,9;1,5;9,6;4;200;34,8;Ireland;1
09/02/2014;France;Italy;30;10;Saint-Denis;Winter;6;3,8;9,2;0;216;25,5;France;1
22/02/2014;Italy;Scotland;20;21;Rome;Winter;11,4;;;1;;;Scotland;0
08/03/2014;Ireland;Italy;46;7;Dublin;Spring;9,6;2,8;12,2;0;182;36,3;Ireland;1
15/03/2014;Italy;England;11;52;Rome;Spring;12,3;;18;0;;;England;0
15/03/2014;France;Ireland;20;22;Saint-Denis;Spring;10,6;6,7;15,5;0;309;15,7;Ireland;0
07/06/2014;Argentina;Ireland;17;29;Resistencia;Winter;17,8;14,1;;0;;;Ireland;0
07/06/2014;New Zealand;England;20;15;Auckland;Winter;13;;18,3;0;;;New Zealand;1
07/06/2014;Australia;France;50;23;Brisbane;Winter;;13,3;24,4;0;;;Australia;1
14/06/2014;Australia;France;6;0;Melbourne;Winter;;8,7;15,4;0,2;;;Australia;1
21/06/2014;Australia;France;39;13;Sydney;Winter;14,6;10,2;20,3;0;285;13,1;Australia;1
21/06/2014;South Africa;Wales;31;30;Nelspruit;Winter;12,6;4,1;25,6;;;;South Africa;1
21/06/2014;New Zealand;England;36;13;Hamilton;Winter;14,1;9;16;;327;12,2;New Zealand;1
21/06/2014;Argentina;Scotland;19;21;C��r;Winter;14,3;5,4;20,5;;4;24,1;Scotland;0
16/08/2014;Australia;New Zealand;12;12;Sydney;Winter;14,4;7,9;16,8;0;;11,9;New Zealand;-1
16/08/2014;South Africa;Argentina;13;6;Pretoria;Winter;13,4;11,6;24,5;;;;South Africa;1
23/08/2014;New Zealand;Australia;51;20;Auckland;Winter;10,3;;15;0;;;New Zealand;1
06/09/2014;Australia;South Africa;24;23;Perth;Spring;;16,3;22,2;1,2;;;Australia;1
13/09/2014;New Zealand;South Africa;14;10;Wellington;Spring;11,8;;17,6;2;;;New Zealand;1
27/09/2014;Argentina;New Zealand;13;34;La Plata;Spring;11,5;3,1;;0;;;New Zealand;0
27/09/2014;South Africa;Australia;28;10;Cape Town;Spring;12,4;7,4;17;0,5;;18,7;South Africa;1
18/10/2014;Australia;New Zealand;28;29;Brisbane;Spring;;16,1;26,5;0;;;New Zealand;0
08/11/2014;Ireland;South Africa;29;15;Dublin;Autumn;6,9;5,1;9,3;10,2;245;18,6;Ireland;1
15/11/2014;Italy;Argentina;18;20;Genoa;Autumn;13,4;11,5;15,6;87,9;228;32,2;Argentina;0
15/11/2014;France;Australia;29;26;Saint-Denis;Autumn;10,3;9,3;13;0,2;;7,6;France;1
22/11/2014;France;Argentina;13;18;Saint-Denis;Autumn;9,8;5,3;15,4;0;;3,7;Argentina;0
22/11/2014;Ireland;Australia;26;23;Dublin;Autumn;9,1;8,8;10,8;0,3;236;16,7;Ireland;1
07/02/2015;Italy;Ireland;3;26;Rome;Winter;6,9;0;;0,5;;;Ireland;0
07/02/2015;France;Scotland;15;8;Saint-Denis;Winter;1,4;-2,4;5,1;0;31;20,9;France;1
14/02/2015;Ireland;France;18;11;Dublin;Winter;6,1;3,5;10,1;0;;14,3;Ireland;1
28/02/2015;France;Wales;13;20;Paris;Winter;4,8;-0,7;10,1;3,6;;15,1;Wales;0
01/03/2015;Ireland;England;19;9;Dublin;Spring;3,5;3,3;5,8;8,2;241;32,5;Ireland;1
15/03/2015;Italy;France;0;29;Rome;Spring;9,1;;11,8;1;;;France;0
21/03/2015;Italy;Wales;20;61;Rome;Spring;10,2;;14;0;;;Wales;0
17/07/2015;New Zealand;Argentina;39;18;Christchurch;Winter;5,7;;10,2;0,5;;;New Zealand;1
18/07/2015;Australia;South Africa;24;20;Brisbane;Winter;;6,9;19,4;0;;;Australia;1
08/08/2015;Australia;New Zealand;27;19;Sydney;Winter;10,9;7,1;15;0;239;17,7;Australia;1
15/08/2015;Ireland;Scotland;28;22;Dublin;Summer;11,6;7;17,4;0;245;15,5;Ireland;1
15/08/2015;Argentina;South Africa;12;26;Buenos Aires;Winter;12,4;9,2;17;0,5;279;11,1;South Africa;0
15/08/2015;New Zealand;Australia;41;13;Auckland;Winter;11,9;8,8;14,9;10,4;;;New Zealand;1
22/08/2015;Italy;Scotland;12;16;Turin;Summer;19,3;15,8;22,4;0;;4,3;Scotland;0
22/08/2015;France;England;25;20;Saint-Denis;Summer;23,8;15,1;30,8;0;;9,3;France;1
29/08/2015;Ireland;Wales;10;16;Dublin;Summer;14,2;11;19;3,4;218;16,8;Wales;0
05/09/2015;France;Scotland;19;16;Saint-Denis;Autumn;14,7;11,1;19,6;2,4;303;10,7;France;1
06/02/2016;France;Italy;23;21;Saint-Denis;Winter;10,4;6,5;14,3;0,8;194;18,3;France;1
07/02/2016;Ireland;Wales;16;16;Dublin;Winter;4,9;2,5;8,9;7,1;221;36,4;Wales;-1
13/02/2016;France;Ireland;10;9;Saint-Denis;Winter;6,1;3,2;9;13,9;198;14,5;France;1
14/02/2016;Italy;England;9;40;Rome;Winter;13,8;11;16;;164;17,3;England;0
27/02/2016;Italy;Scotland;20;36;Rome;Winter;13,1;11;15;;138;26,7;Scotland;0
12/03/2016;Ireland;Italy;58;15;Dublin;Spring;11,2;9,5;14,8;0;203;16,2;Ireland;1
19/03/2016;France;England;21;31;Saint-Denis;Spring;5,5;3,4;6,5;0;43;17,4;England;0
19/03/2016;Ireland;Scotland;35;25;Dublin;Spring;5,7;3,3;7,6;0;45;14,3;Ireland;1
11/06/2016;Australia;England;28;39;Brisbane;Winter;;12,8;23,7;0;;;England;0
11/06/2016;New Zealand;Wales;39;21;Auckland;Winter;14,3;11,3;17,7;1,8;;;New Zealand;1
11/06/2016;South Africa;Ireland;20;26;Cape Town;Winter;11,3;5;18;;;14,9;Ireland;0
18/06/2016;Australia;England;7;23;Melbourne;Winter;;9,6;12,4;8,8;;;England;0
18/06/2016;New Zealand;Wales;36;22;Wellington;Winter;13,2;11,5;14,4;0;;;New Zealand;1
25/06/2016;Australia;England;40;44;Sydney;Winter;9,6;6,8;13,6;0;249;27,1;England;0
20/08/2016;Australia;New Zealand;8;42;Sydney;Winter;12,6;10;18,4;0,4;;;New Zealand;0
27/08/2016;Argentina;South Africa;26;24;Salta;Winter;17,6;10,2;31;;42;9,4;Argentina;1
27/08/2016;New Zealand;Australia;29;9;Wellington;Winter;10,7;;13,1;6,6;;;New Zealand;1
10/09/2016;New Zealand;Argentina;57;22;Hamilton;Spring;9,8;7;14;;195;16,5;New Zealand;1
10/09/2016;Australia;South Africa;23;17;Brisbane;Spring;;16,2;23,3;7,2;;;Australia;1
17/09/2016;New Zealand;South Africa;41;13;Christchurch;Spring;10,6;;18,9;0;;;New Zealand;1
17/09/2016;Australia;Argentina;36;20;Perth;Spring;;7,3;17,9;0;;;Australia;1
01/10/2016;Argentina;New Zealand;17;36;Buenos Aires;Spring;15,2;12;18;0;85;21,8;New Zealand;0
01/10/2016;South Africa;Australia;18;10;Pretoria;Spring;21,4;13,5;29,5;;;;South Africa;1
22/10/2016;New Zealand;Australia;37;10;Auckland;Spring;13,7;;17,2;0,5;;;New Zealand;1
12/11/2016;Italy;New Zealand;10;68;Rome;Autumn;8,5;6;12;;37;11,1;New Zealand;0
19/11/2016;Italy;South Africa;20;18;Florence;Autumn;2,5;1;3,6;23,9;228;19,4;Italy;1
